,School Number,Cluster,County,School
1825,440,0,ALLEGHENY,SOUTH ALLEGHENY MS/HS
1698,3724,0,PHILADELPHIA,ROWEN WILLIAM SCH
1164,8152,0,PHILADELPHIA,MASTERY CHARTER SCHOOL MANN CA
1700,8322,0,WESTMORELAND,ROY A HUNT EL SCH
601,7235,0,PHILADELPHIA,FARRELL LOUIS H SCH
1703,4675,0,BUCKS,RUSH EL SCH
300,3712,0,PHILADELPHIA,CHARLES W HENRY SCH
602,1008,0,BUCKS,FAUST EL SCH
298,7943,0,DELAWARE,CHARLES KELLY ELEM SCHOOL
1163,8153,0,PHILADELPHIA,MASTERY CHARTER SCHOOL HARRITY
599,7119,0,MERCER,FARRELL AREA ES/LMS
1712,3930,0,SCHUYLKILL,SAINT CLAIR AREA EL/
1718,4002,0,SOMERSET,SALISBURY-ELK LICK JSH
1157,3454,0,NORTHAMPTON,MARVINE EL SCH
1730,965,0,BRADFORD,SAYRE AREA HS
613,1225,0,CAMBRIA,FERNDALE AREA JSHS
1737,2917,0,LUZERNE,SCHUYLER AVENUE EL SCH
618,7744,0,PHILADELPHIA,FIRST PHILA CS FOR LITERACY
1746,7767,0,CHESTER,SCOTT MIDDLE SCHOOL
1749,1645,0,CRAWFORD,SECOND DISTRICT EL SCHOOL
277,1744,0,DAUPHIN,CENTRAL DAUPHIN EAST MS
1160,6002,0,FAYETTE,MASONTOWN CENTRAL EL
1165,8151,0,PHILADELPHIA,MASTERY CHARTER SCHOOL SMEDLEY
308,3805,0,PHILADELPHIA,CHESTER A ARTHUR
1167,8208,0,PHILADELPHIA,MASTERY CS - CLYMER ELEMENTARY
1187,499,0,ALLEGHENY,MCCLURE MS
581,7898,0,BEDFORD,EVERETT AREA MS
1185,3719,0,PHILADELPHIA,MCCLOSKEY JOHN F SCH
1650,3701,0,PHILADELPHIA,RICHMOND SCH
1657,8103,0,WASHINGTON,RINGGOLD MS
1660,845,0,BERKS,RIVERSIDE EL SCH
327,8094,0,ALLEGHENY,CLAIRTON MS/HS
1661,2496,0,LACKAWANNA,RIVERSIDE JSHS
325,8262,0,LEHIGH,CIRCLE OF SEASONS CS
1666,7532,0,ERIE,ROBERT BENJAMIN WILEY COMM CS
1669,7629,0,LEHIGH,ROBERTO CLEMENTE CS
1182,8245,0,LUZERNE,MCADOO-KELAYRES EL/MS
320,3622,0,PHILADELPHIA,CHILDS GEORGE W SCH
1676,8279,0,BEAVER,ROCHESTER MS
317,7276,0,DELAWARE,CHICHESTER MS
1175,7582,0,PHILADELPHIA,MATH CIVICS & SCIENCES CS
1681,4126,0,VENANGO,ROCKY GROVE JSHS
1174,7910,0,PHILADELPHIA,MASTERY CS - THOMAS CAMPUS
1169,7588,0,PHILADELPHIA,MASTERY CS - HARDY WILLIAMS
1689,2024,0,ERIE,ROOSEVELT MS
310,8258,0,DELAWARE,CHESTER CS FOR THE ARTS
1754,8084,0,LEHIGH,SEVEN GENERATIONS CS
621,1018,0,BUCKS,FITCH EL SCH
622,6913,0,PHILADELPHIA,FITLER ACADEMICS PLUS
623,3781,0,PHILADELPHIA,FITZPATRICK ALOYSIUS
1826,6474,0,CHESTER,SOUTH BRANDYWINE MS
1827,7693,0,ALLEGHENY,SOUTH BROOK MIDDLE SCH
642,4242,0,WASHINGTON,FORT CHERRY JSHS
234,1376,0,CHESTER,CALN EL SCH
648,6723,0,NORTHAMPTON,FOUNTAIN HILL EL SCH
1843,2793,0,LEHIGH,SOUTH MOUNTAIN MS
1846,2487,0,LACKAWANNA,SOUTH SCRANTON INTRM
226,8006,0,BERKS,C E COLE INTERMEDIATE SCH
225,1960,0,DELAWARE,BYWOOD EL SCH
1856,2313,0,HUNTINGDON,SOUTHERN HUNTINGDON HS/MS
1095,8140,0,LEHIGH,LUIS A RAMOS ES
1859,6286,0,YORK,SOUTHERN MS
1863,2743,0,LEBANON,SOUTHWEST EL SCH
1864,7960,0,PHILADELPHIA,SOUTHWEST LEADERSHIP ACADEMY CS
1865,857,0,BERKS,SOUTHWEST MS
1876,7362,0,ALLEGHENY,SPRING HILL EL SCH
213,7795,0,CLINTON,BUCKTAIL AREA MS
1084,7232,0,PHILADELPHIA,LOWELL JAMES R SCH
207,2154,0,FAYETTE,BROWNSVILLE AREA MS
1075,933,0,BLAIR,LOGAN EL SCH
205,6529,0,PHILADELPHIA,BROWN JOSEPH H SCH
1391,7700,0,LACKAWANNA,NORTHEAST INTRMD SCH
339,921,0,BLAIR,CLAYSBURG-KIMMEL HS
241,1299,0,CAMERON,CAMERON COUNTY JSHS
1818,3773,0,PHILADELPHIA,SOLIS-COHEN SOLOMON
1767,7892,0,NORTHUMBERLAND,SHAMOKIN AREA MS
1773,8092,0,MERCER,SHARON MS
1776,3653,0,PHILADELPHIA,SHARSWOOD GEORGE SCH
264,3602,0,PHILADELPHIA,CATHARINE JOSEPH SCH
1778,3725,0,PHILADELPHIA,SHAWMONT SCH
1782,3940,0,SCHUYLKILL,SHENANDOAH VALLEY JS
1786,6448,0,LEHIGH,SHERIDAN EL SCH
259,7182,0,LANCASTER,CARTER MACRAE EL SCH
1132,1893,0,DELAWARE,MARCUS HOOK EL SCH
1127,2284,0,GREENE,MAPLETOWN JSHS
1793,2291,0,HUNTINGDON,SHIRLEY TWP EL SCH
1126,2295,0,HUNTINGDON,MAPLETON-UNION EL SCH
1123,8334,0,LUZERNE,MAPLE MANOR EL/MS
253,79,0,ALLEGHENY,CARLYNTON JSHS
250,2420,0,LACKAWANNA,CARBONDALE AREA JSHS
249,7457,0,LACKAWANNA,CARBONDALE AREA EL SCH
1113,7871,0,ALLEGHENY,MANCHESTER EL SCH
1112,7549,0,ALLEGHENY,MANCHESTER ACADEMIC CS
1810,3117,0,MCKEAN,SMETHPORT AREA JSHS
639,3764,0,PHILADELPHIA,FORREST EDWIN SCH
1105,3902,0,SCHUYLKILL,MAHANOY AREA MS
1820,7497,0,LUZERNE,SOLOMON/PLAINS JHS
1635,3771,0,PHILADELPHIA,RHAWNHURST SCH
341,8236,0,MONROE,CLEAR RUN INTRMD SCH
1634,2594,0,LANCASTER,REYNOLDS MS
1464,7985,0,PHILADELPHIA,PAN AMERICAN ACADEMY CS
1467,8348,0,CARBON,PANTHER VALLEY JSHS
437,1861,0,DELAWARE,DARBY TWP EL SCH
435,5152,0,LUZERNE,DANIEL J FLOOD EL SCH
1339,8284,0,LAWRENCE,NEW CASTLE JHS
1338,694,0,BEAVER,NEW BRIGHTON AREA MS
1486,1540,0,CLEARFIELD,PENFIELD EL SCH
508,8340,0,ALLEGHENY,EAST ALLEGHENY JSHS
1491,8327,0,ALLEGHENY,PENN HILLS EL SCH
1327,3650,0,PHILADELPHIA,NEBINGER GEORGE W SCH
1323,5242,0,LUZERNE,NANTICOKE HS
1318,3170,0,MERCER,MUSSER EL SCH
1313,827,0,BERKS,MUHLENBERG MS
1300,7733,0,HUNTINGDON,MOUNT UNION-KISTLER EL SCH
1502,8280,0,BLAIR,PENN-LINCOLN EL SCH
1299,2297,0,HUNTINGDON,MOUNT UNION AREA JUNIOR HIGH
1297,7791,0,WESTMORELAND,MOUNT PLEASANT JHS
1514,7819,0,CHESTER,PENNSYLVANIA LEADERSHIP CHARTE
1292,2779,0,LEHIGH,MOSSER EL SCH
521,1890,0,DELAWARE,EAST LANSDOWNE SCH
411,4098,0,VENANGO,CRANBERRY AREA JSHS
1462,7140,0,CARBON,PALMERTON AREA JHS
1285,8113,0,BUCKS,MORRISVILLE INTRMD SCH
1459,7687,0,MONTGOMERY,PA VIRTUAL CS
1457,7650,0,BEAVER,PA CYBER CS
477,4454,0,WESTMORELAND,DONEGAL EL SCH
1381,3883,0,SCHUYLKILL,NORTH SCHUYLKILL JSHS
1392,3462,0,NORTHAMPTON,NORTHEAST MS
1397,6860,0,CAMBRIA,NORTHERN CAMBRIA MS
1399,8310,0,LEBANON,NORTHERN LEBANON MS
1400,6829,0,LEHIGH,NORTHERN LEHIGH MS
470,2995,0,LUZERNE,DODSON EL SCH
469,3726,0,PHILADELPHIA,DOBSON JAMES SCH
1403,3875,0,POTTER,NORTHERN POTTER JSHS
467,7775,0,PHILADELPHIA,DISCOVERY CHARTER SCHOOL
1404,53,0,ALLEGHENY,NORTHGATE JSHS
1368,6473,0,CHESTER,NORTH BRANDYWINE MS
461,4815,0,CLINTON,DICKEY EL SCH
489,6924,0,LUZERNE,DR DAVID W KISTLER E
490,1971,0,DELAWARE,DREXEL HILL MS
1435,7215,0,VENANGO,OIL CITY AREA MS
453,6505,0,DELAWARE,DELCROFT SCH
494,2107,0,FAYETTE,DUNBAR BORO EL SCH
448,748,0,BEDFORD,DEFIANCE GR SCH
1451,6960,0,PHILADELPHIA,OVERBROOK EDU CTR
1452,7472,0,PHILADELPHIA,OVERBROOK ELEM SCH
443,3706,0,PHILADELPHIA,DAY ANNA B SCH
1066,5019,0,ALLEGHENY,LINTON MS
408,4058,0,TIOGA,COWANESQUE VALLEY JS
405,7793,0,ERIE,CORRY AREA MS
1575,3801,0,PHILADELPHIA,POLLOCK ROBERT B SCH
555,2599,0,LANCASTER,ELIZABETH R MARTIN E
1584,3346,0,MONTGOMERY,POTTSTOWN MS
1236,8186,0,MIFFLIN,MIFFLIN COUNTY JHS
1588,6762,0,LANCASTER,PRICE EL SCH
363,1856,0,DELAWARE,COLWYN ELEM SCHOOL
362,8326,0,LANCASTER,COLUMBIA MS
1231,7022,0,PHILADELPHIA,MIDDLE YEARS ALT SCH
558,6418,0,SUSQUEHANNA,ELK LAKE JSHS
1592,8129,0,ALLEGHENY,PROPEL CS - BRADDOCK HILLS
1595,7772,0,ALLEGHENY,PROPEL CS - HOMESTEAD
1227,3962,0,SNYDER,MIDD-WEST HS
1599,8218,0,ALLEGHENY,PROPEL CS - PITCAIRN
1602,4865,0,LAWRENCE,PULASKI EL SCH
1604,6165,0,JEFFERSON,PUNXSUTAWNEY AREA SH
1212,8267,0,DAUPHIN,MELROSE SCH
567,2022,0,ERIE,EMERSON-GRIDLEY EL SCH
347,7102,0,LEHIGH,CLEVELAND EL SCH
1204,6970,0,LACKAWANNA,MCNICHOLS PLAZA
569,3709,0,PHILADELPHIA,EMLEN ELEANOR COPE SCH
1624,7334,0,CHESTER,REECEVILLE EL SCH
369,7774,0,DAUPHIN,COMMONWEALTH CHARTER ACADEMY CS
407,3869,0,POTTER,COUDERSPORT AREA JSH
1237,8185,0,MIFFLIN,MIFFLIN COUNTY MS
1240,3720,0,PHILADELPHIA,MIFFLIN THOMAS SCH
529,5315,0,CAMBRIA,EAST SIDE EL SCH
1531,7511,0,PHILADELPHIA,PHILADELPHIA HARAMBEE INST CS
1279,3770,0,PHILADELPHIA,MOORE J HAMPTON SCH
400,8087,0,ALLEGHENY,CORNELL HS
1532,7828,0,PHILADELPHIA,PHILADELPHIA MONTESSORI CS
1536,8301,0,CLEARFIELD,PHILIPSBURG-OSCEOLA MIDDLE SCH
394,5122,0,PHILADELPHIA,COOK-WISSAHICKON SCH
393,6525,0,PHILADELPHIA,CONWELL RUSSELL MS
535,6612,0,LEBANON,EASTERN LEBANON CO M
1265,4444,0,WESTMORELAND,MONESSEN EL CTR
1262,3697,0,PHILADELPHIA,MOFFET JOHN SCH
1258,363,0,ALLEGHENY,MINADEO EL SCH
1255,1623,0,COLUMBIA,MILLVILLE AREA JSHS
385,2105,0,FAYETTE,CONNELLSVILLE JHS EA
1549,7692,0,ALLEGHENY,PITTSBURGH CLASSICAL ACAD
1253,8247,0,BERKS,MILLMONT ELEMENTARY
380,8225,0,CRAWFORD,CONNEAUT LAKE MS
1555,8105,0,ALLEGHENY,PITTSBURGH OBAMA 6-12
550,3321,0,MONTGOMERY,EISENHOWER MS
1243,1346,0,CENTRE,MILES TOWNSHIP EL SCHOOL
1572,7867,0,MONROE,POCONO MT WEST JHS
1238,7881,0,ALLEGHENY,MIFFLIN EL SCH
1888,7234,0,PHILADELPHIA,SPRUANCE GILBERT SCH
480,6722,0,NORTHAMPTON,DONEGAN EL SCH
2112,1566,0,CLEARFIELD,WEST BRANCH AREA JSH
2003,553,0,ALLEGHENY,TURNER EL SCH
2170,6544,0,PHILADELPHIA,WILLARD FRANCES E SCH
2002,6216,0,SOMERSET,TURKEYFOOT VALLEY AR JS
990,4528,0,WYOMING,LACKAWANNA TRAIL JSH
786,6616,0,LEBANON,HARDING EL SCH
991,2584,0,LANCASTER,LAFAYETTE EL SCH
2140,6791,0,LACKAWANNA,WEST SCRANTON INTRMD
715,5219,0,CLEARFIELD,GLENDALE JSHS
51,1887,0,DELAWARE,ARDMORE AVENUE SCH
992,7933,0,FAYETTE,LAFAYETTE ELEM SCHOOL
927,2455,0,LACKAWANNA,JOHN ADAMS NO 4
90,5257,0,NORTHAMPTON,BANGOR AREA MS
30,7543,0,PHILADELPHIA,ALLIANCE FOR PROGRESS CS
2188,2025,0,ERIE,WILSON MS
719,7639,0,PHILADELPHIA,GLOBAL LEADERSHIP ACADEMY CS
1981,5208,0,BRADFORD,TOWANDA AREA JSHS
2191,7253,0,PHILADELPHIA,WILSON WOODROW MS
993,7934,0,FAYETTE,LAFAYETTE MIDDLE SCHOOL
2196,7724,0,PHILADELPHIA,WISSAHICKON CS
792,6501,0,DELAWARE,HARRIS EL SCH
754,7663,0,PHILADELPHIA,GROVER WASHINGTON MS
923,3714,0,PHILADELPHIA,JENKS JOHN S SCH
145,5267,0,WASHINGTON,BETHLEHEM-CENTER MS
2136,7722,0,PHILADELPHIA,WEST PHILA ACHIEVEMENT CS
147,1970,0,DELAWARE,BEVERLY HILLS MS
1012,5146,0,FAYETTE,LAUREL HIGHLANDS MS
1016,3744,0,PHILADELPHIA,LAWTON HENRY W SCH
1961,3766,0,PHILADELPHIA,THOMAS HOLME SCHOOL
2206,7502,0,ALLEGHENY,WOOLSLAIR ELEM SCHL
99,1021,0,BUCKS,BARTON EL SCH
1980,7862,0,BRADFORD,TOWANDA AREA EL SCH
128,8047,0,FRANKLIN,BENJAMIN CHAMBERS EL SCH
2005,2400,0,JUNIATA,TUSCARORA VALLEY EL
126,2182,0,FAYETTE,BEN FRANKLIN SCH
780,7007,0,LUZERNE,HANOVER AREA MEMORIA
46,8031,0,PHILADELPHIA,ANTONIA PANTOJA COMMUNITY CS
45,820,0,BERKS,ANTIETAM MIDDLE/SENIOR HS
2043,8194,0,ALLEGHENY,URBAN PATHWAYS K-5 COLLEGE CS
955,7228,0,PHILADELPHIA,KEY FRANCIS SCOTT SCH
2156,7877,0,ALLEGHENY,WESTWOOD EL SCH
2041,7563,0,ALLEGHENY,URBAN ACADEMY OF GREATER PITTS
779,2891,0,LUZERNE,HANOVER AREA JSHS
940,7963,0,PHILADELPHIA,JUNIATA PARK ACADEMY
106,648,0,BEAVER,BEAVER FALLS MS
738,7610,0,LUZERNE,GREATER NANTICOKE AREA ED CTR
2159,2600,0,LANCASTER,WHEATLAND MS
2142,1250,0,CAMBRIA,WEST SIDE EL SCH
39,6823,0,PHILADELPHIA,AMY AT MARTIN
965,7776,0,PHILADELPHIA,KIPP PHILADELPHIA CHARTER SCHO
966,8124,0,PHILADELPHIA,KIPP WEST PHILADELPHIA PREP CS
113,7385,0,DELAWARE,BELL AVENUE SCHOOL
720,7768,0,LUZERNE,GNA ELEM CTR
988,2399,0,JUNIATA,LACK-TUSCARORA EL SCH
930,4736,0,LACKAWANNA,JOHN F. KENNEDY NO 7
2008,8271,0,ALLEGHENY,TWIN RIVERS INTRMD SCH
987,6825,0,PHILADELPHIA,LA BRUM GEN J HARRY
34,840,0,BERKS,AMANDA E STOUT EL SCH
1960,832,0,BERKS,THIRTEENTH & UNION E
2021,2785,0,LEHIGH,UNION TERRACE EL SCH
725,5080,0,MONTGOMERY,GOTWALS EL SCH
931,4858,0,LACKAWANNA,JOHN G WHITTIER NO 2
2168,8090,0,ALLEGHENY,WILKINS EL SCH
2027,8251,0,PHILADELPHIA,UNIVERSAL CREIGHTON CHARTER SCH
2052,8294,0,PHILADELPHIA,VARE-WASHINGTON EL SCH
95,193,0,ALLEGHENY,BARRETT EL SCH
35,633,0,BEAVER,AMBRIDGE AREA JHS
1959,5027,0,BERKS,THIRTEENTH & GREEN E
2133,7548,0,PHILADELPHIA,WEST OAK LANE CS
20,6509,0,DELAWARE,ALDAN SCH
59,7889,0,ALLEGHENY,ARSENAL EL SCHOOL
60,7886,0,ALLEGHENY,ARSENAL MS
770,2592,0,LANCASTER,HAMILTON EL SCH
681,4922,0,FAYETTE,FRIENDSHIP HILL EL SCH
1908,3320,0,MONTGOMERY,STEWART MS
1043,4917,0,CLINTON,LIBERTY CURTIN EL SCH
2122,7569,0,LUZERNE,WEST HAZLETON EL/MS
1906,7061,0,LYCOMING,STEVENS EL SCH
678,7586,0,PHILADELPHIA,FREIRE CS
1904,1829,0,DELAWARE,STETSER EL SCH
11,7256,0,PHILADELPHIA,ADAIRE ALEXANDER SCH
1045,4064,0,TIOGA,LIBERTY JSHS
10,7825,0,PHILADELPHIA,AD PRIMA CS
676,3458,0,NORTHAMPTON,FREEMANSBURG EL SCH
1903,7039,0,ALLEGHENY,STERRETT CLASSICAL ACADEMY
1902,8303,0,DELAWARE,STEM AT SHOWALTER
2120,7496,0,GREENE,WEST GREENE MS
892,2481,0,LACKAWANNA,ISAAC TRIPP EL SCH
1055,2595,0,LANCASTER,LINCOLN MS
2114,4939,0,FAYETTE,WEST CRAWFORD EL SCHOOL
196,7743,0,BUCKS,BRISTOL MS
1054,8125,0,LEHIGH,LINCOLN LEADERSHIP ACAD CS
1899,260,0,ALLEGHENY,STEEL VALLEY MS
21,8085,0,BEAVER,ALIQUIPPA EL SCH
1050,7675,0,YORK,LINCOLN CHARTER SCHOOL
808,6930,0,LUZERNE,HEIGHTS TERRACE EL/MIDDLE
827,7202,0,ALLEGHENY,HIGHLANDS MS
63,8336,0,LEHIGH,ARTS ACADEMY ELEMENTARY CHARTE
192,3745,0,PHILADELPHIA,BRIDESBURG SCH
2220,6986,0,LUZERNE,WYOMING VALLEY WEST MS
675,6718,0,LUZERNE,FREELAND EL/MS
2230,7584,0,PHILADELPHIA,YOUNG SCHOLARS CS
899,3642,0,PHILADELPHIA,JACKSON ANDREW SCH
1895,8243,0,LUZERNE,STATE EL CTR
1040,7789,0,MIFFLIN,LEWISTOWN EL SCH
1019,2754,0,LEBANON,LEBANON MS
1947,7551,0,DAUPHIN,SYLVAN HEIGHTS SCIENCE CS
1942,1742,0,DAUPHIN,SWATARA MS
56,5305,0,BUCKS,ARMSTRONG MS
1020,2888,0,LUZERNE,LEE PARK EL SCH
760,5120,0,PHILADELPHIA,HACKETT HORATIO B SCH
765,6331,0,DAUPHIN,HALIFAX AREA MS
849,8154,0,BEDFORD,HOPE FOR HYNDMAN CS
17,7608,0,FAYETTE,ALBERT GALLATIN SOUTH MS
702,2589,0,LANCASTER,GEORGE WASHINGTON EL
1021,7923,0,ARMSTRONG,LEECHBURG AREA JSHS
701,2129,0,FAYETTE,GEORGE J PLAVA EL SCH
1933,7884,0,ALLEGHENY,SUNNYSIDE EL SCH
1025,2775,0,LEHIGH,LEHIGH PARKWAY EL SCH
2083,7164,0,LAWRENCE,WASHINGTON INTRMD EL
1925,7635,0,CLINTON,SUGAR VALLEY RURAL CS
170,7400,0,SUSQUEHANNA,BLUE RIDGE MS
1027,8130,0,NORTHAMPTON,LEHIGH VALLEY DUAL LANGUAGE CS
153,6828,0,CAMBRIA,BLACKLICK VALLEY EL
1034,5265,0,SCHUYLKILL,LENGEL MS
16,7607,0,FAYETTE,ALBERT GALLATIN NORTH MS
2125,3171,0,MERCER,WEST HILL EL SCH
2086,6912,0,WASHINGTON,WASHINGTON PARK MS
684,2581,0,LANCASTER,FULTON EL SCH
154,5135,0,CAMBRIA,BLACKLICK VALLEY JSH
699,2476,0,LACKAWANNA,GEORGE BANCROFT NO 34
